Type,Categorie,Valeur,Actif,Priorite,Raison,Date Création,Impact
BONUS,Entreprise,ISABU,TRUE,1,Institut agriculture tropicale,19/12/2025,
BLACKLIST,Titre,junior,TRUE,10,Impact social/environnemental,19/12/2025,
BONUS,Description,KPI,TRUE,12,Mesure d'impact,19/12/2025,
BONUS,Description,label,TRUE,-10,Moins prioritaire que CDI,19/12/2025,
WHITELIST,Titre,lead,TRUE,3,Pilotage,19/12/2025,
BONUS,Description,levée de fonds,TRUE,10,Santé - autre secteur,19/12/2025,
BONUS,Description,levée de fonds en cours,TRUE,10,Niveau diplôme,19/12/2025,
BLACKLIST,Titre,livreur,TRUE,10,Domaine d'expertise,19/12/2025,
WHITELIST,Entreprise,LPO,TRUE,1,Recherche agronomique France,19/12/2025,
BONUS,Description,management d'équipe,TRUE,30,Institution recherche,19/12/2025,
BONUS,Description,management transversal,TRUE,1,Tech - hors compétence cible,19/12/2025,
WHITELIST,Titre,manager,TRUE,-15,Temporaire,19/12/2025,
BLACKLIST,Titre,mandataire,TRUE,8,Dimension internationale,19/12/2025,
BLACKLIST,Titre,manœuvre,TRUE,1,Investissement requis = franchise,19/12/2025,
BLACKLIST,Entreprise,Manpower,TRUE,1,Investissement requis = franchise,19/12/2025,
BLACKLIST,Titre,manutentionnaire,TRUE,1,Institut Recherche Développement,19/12/2025,
BONUS,Description,master,TRUE,1,Cible très spécifique Burundi,19/12/2025,
WHITELIST,Entreprise,Médecins du Monde,TRUE,20,Cible très spécifique mentionnée,19/12/2025,
BONUS,Description,membre du comité,TRUE,19,Cible très spécifique mentionnée,15/12/2025,
BONUS,Description,mesure d'impact,TRUE,4,Niveau hiérarchique trop bas,19/12/2025,
WHITELIST,Entreprise,Métropole,TRUE,1,Niveau hiérarchique trop bas,15/12/2025,
BLACKLIST,Description,mi-temps,TRUE,5,Indicateurs performance,19/12/2025,
BLACKLIST,Entreprise,Midas,TRUE,3,Certification,19/12/2025,
WHITELIST,Entreprise,Ministère,TRUE,2,Leadership (attention contexte),19/12/2025,
BONUS,Entreprise,Ministère,TRUE,10,Fundraising,19/12/2025,
PENALTY,Contrat,mission,TRUE,-5,Start-up early stage,19/12/2025,
BLACKLIST,Entreprise,Mister Minit,TRUE,1,Logistique opérationnelle,19/12/2025,
BONUS,Description,monitoring,TRUE,1,Protection oiseaux biodiversité,19/12/2025,
BONUS,Description,multi-acteurs,TRUE,10,Requis pour poste senior,19/12/2025,
BLACKLIST,Titre,négociateur immobilier,TRUE,12,Requis pour poste senior,15/12/2025,
BONUS,Titre,NGO,TRUE,12,Management matriciel,19/12/2025,
BONUS,Description,NGO,TRUE,20,Management matriciel,19/12/2025,
BLACKLIST,Description,niveau bts,TRUE,1,Management,20/12/2025,
BLACKLIST,Entreprise,Norauto,TRUE,1,Statut précaire / Indépendant,19/12/2025,
BONUS,Description,normes ISO,TRUE,1,Statut précaire/Indépendant,15/12/2025,
BONUS,Titre,nutrition,TRUE,1,BTP opérationnel,19/12/2025,
BONUS,Description,nutrition,TRUE,1,BTP opérationnel,19/12/2025,
BLACKLIST,Entreprise,O2,TRUE,2,Interim (sauf postes internes),20/12/2025,
WHITELIST,Entreprise,OFB,TRUE,1,Logistique opérationnelle,19/12/2025,
BONUS,Titre,ONG,TRUE,5,Niveau diplôme,19/12/2025,
BONUS,Description,ONG,TRUE,5,Niveau diplôme,19/12/2025,
WHITELIST,Entreprise,ONU,TRUE,1,ONG humanitaire,20/12/2025,
PENALTY,Titre,opérateur,TRUE,-18,Gouvernance,19/12/2025,
BLACKLIST,Titre,ouvrier,TRUE,12,Impact measurement,19/12/2025,
BLACKLIST,Description,ouvrir votre agence,TRUE,2,Collectivité territoriale,19/12/2025,
WHITELIST,Entreprise,OXFAM,TRUE,2,Temps partiel non souhaité,19/12/2025,
WHITELIST,Entreprise,PAM,TRUE,1,Réseau de franchises auto,19/12/2025,
BONUS,Titre,partenariats,TRUE,1,Secteur public France,19/12/2025,
BONUS,Description,partenariats,TRUE,1,Secteur public France,19/12/2025,
BONUS,Description,parties prenantes,TRUE,10,Secteur public cible,20/12/2025,
BONUS,Titre,partnerships,TRUE,15,Secteur public cible,15/12/2025,
BONUS,Description,partnerships,TRUE,15,Secteur public cible,19/12/2025,
BONUS,Entreprise,Patagonia,TRUE,-5,Temporaire,20/12/2025,
BONUS,Titre,patron,TRUE,14,Réseau de franchises services,19/12/2025,
PENALTY,Description,permis B obligatoire,TRUE,8,Suivi projet,19/12/2025,
BLACKLIST,Description,permis poids lourd,TRUE,10,Coordination complexe,19/12/2025,
BLACKLIST,Entreprise,Petit-fils,TRUE,1,Immobilier commercial,19/12/2025,
BONUS,Description,PhD,TRUE,10,Secteur associatif (EN),19/12/2025,
BONUS,Description,pilotage budgétaire,TRUE,2,Niveau diplôme insuffisant,19/12/2025,
BONUS,Description,pilotage d'équipe,TRUE,1,Réseau de franchises auto,19/12/2025,
WHITELIST,Titre,pilote,TRUE,5,Standards qualité,19/12/2025,
BONUS,Titre,plaidoyer,TRUE,10,Enjeux nutritionnels,19/12/2025,
BONUS,Description,plaidoyer,TRUE,10,Enjeux nutritionnels,19/12/2025,
PENALTY,Titre,plongeur,TRUE,-41,Réseau de franchises SAP,20/12/2025,
WHITELIST,Entreprise,PNUD,TRUE,1,Office Français Biodiversité,19/12/2025,
WHITELIST,Entreprise,PNUE,TRUE,10,Secteur associatif,19/12/2025,
BLACKLIST,Entreprise,Point S,TRUE,1,Cible prioritaire,19/12/2025,
BLACKLIST,Description,port de charges lourdes,TRUE,1,Cible prioritaire Nations Unies,15/12/2025,
BONUS,Description,poste de direction,TRUE,1,Niveau opérationnel,19/12/2025,
BLACKLIST,Description,première expérience,TRUE,1,Production opérationnelle,19/12/2025,
BLACKLIST,Titre,préparateur,TRUE,1,Franchise,19/12/2025,
WHITELIST,Titre,président,TRUE,1,ONG développement majeure,19/12/2025,
BLACKLIST,Description,profil junior,TRUE,1,Programme Alimentaire Mondial,19/12/2025,
WHITELIST,Titre,program manager,TRUE,10,Développement partenariats,19/12/2025,
WHITELIST,Titre,project manager,TRUE,8,Stakeholder management,19/12/2025,
BLACKLIST,Entreprise,Proman,TRUE,10,Développement partenariats (EN),19/12/2025,
BLACKLIST,Titre,promoteur des ventes,TRUE,10,Entreprise mission,19/12/2025,
BLACKLIST,Entreprise,Randstad,TRUE,1,Franchise déguisée,19/12/2025,
BLACKLIST,Titre,réceptionniste,TRUE,0,Contrainte logistique,19/12/2025,
BONUS,Titre,recyclage,TRUE,1,Transport routier,19/12/2025,
BONUS,Description,recyclage,TRUE,1,Transport routier,19/12/2025,
BLACKLIST,Description,redevance,TRUE,1,Réseau de franchises SAP,20/12/2025,
BONUS,Titre,réemploi,TRUE,8,Niveau expertise,19/12/2025,
BONUS,Description,réemploi,TRUE,8,Niveau expertise,19/12/2025,
WHITELIST,Entreprise,Région,TRUE,10,Compétence cadre,20/12/2025,
WHITELIST,Titre,regional manager,TRUE,10,Management,19/12/2025,
BLACKLIST,Description,rejoindre notre réseau,TRUE,1,Pilotage projets/programmes,19/12/2025,
BONUS,Description,relations institutionnelles,TRUE,8,Compétence politique/ONG,19/12/2025,
BONUS,Titre,renforcement capacités,TRUE,12,Compétence politique/ONG,15/12/2025,
BONUS,Description,renforcement capacités,TRUE,12,Compétence politique/ONG,19/12/2025,
BONUS,Description,reporting,TRUE,1,Restauration opérationnel,20/12/2025,
BLACKLIST,Titre,repreneur,TRUE,1,Cible prioritaire Dév,19/12/2025,
BONUS,Description,représentation,TRUE,1,Cible prioritaire Dév,15/12/2025,
BONUS,Titre,responsable,TRUE,8,Programme Environnement ONU (FR),19/12/2025,
BONUS,Titre,responsable d'agence franchisé,TRUE,6,Réseau de franchises auto,19/12/2025,
BLACKLIST,Description,royalties,TRUE,1,Travail physique,19/12/2025,
BONUS,Titre,RSE,TRUE,12,Niveau direction,19/12/2025,
BONUS,Description,RSE,TRUE,12,Niveau direction,19/12/2025,
BLACKLIST,Description,sans expérience,TRUE,1,Indicateur de poste junior,20/12/2025,
BONUS,Entreprise,SCIC,TRUE,1,Logistique opérationnelle,19/12/2025,
BONUS,Entreprise,SCOP,TRUE,1,Top management,19/12/2025,
WHITELIST,Entreprise,Secours Catholique,TRUE,1,Indicateur de poste junior,19/12/2025,
PENALTY,Titre,secrétaire,TRUE,-11,Gestion multi-projets,19/12/2025,
WHITELIST,Titre,secrétaire général,TRUE,1,Gestion multi-projets,15/12/2025,
BONUS,Titre,sécurité alimentaire,TRUE,1,Gestion projets,19/12/2025,
BONUS,Description,sécurité alimentaire,TRUE,1,Gestion projets,19/12/2025,
PENALTY,Description,seed,TRUE,2,Interim,20/12/2025,
BONUS,Titre,senior advisor,TRUE,9,Animation vente,19/12/2025,
PENALTY,Description,série A,TRUE,2,Interim (sauf postes internes),19/12/2025,
PENALTY,Titre,serveur,TRUE,-45,Accueil,19/12/2025,
BLACKLIST,Entreprise,Shiva,TRUE,10,Économie circulaire,19/12/2025,
BLACKLIST,Description,smic,TRUE,1,Franchise,19/12/2025,
WHITELIST,Entreprise,Solidarités International,TRUE,10,Économie circulaire,19/12/2025,
WHITELIST,Entreprise,SOS Faim,TRUE,2,Collectivité territoriale,19/12/2025,
BONUS,Titre,souveraineté alimentaire,TRUE,1,Management régional,19/12/2025,
BONUS,Description,souveraineté alimentaire,TRUE,1,Management régional,19/12/2025,
BLACKLIST,Entreprise,Spar,TRUE,2,Souvent franchise,20/12/2025,
BLACKLIST,Entreprise,Speedy,TRUE,10,Affaires publiques,19/12/2025,
BLACKLIST,Titre,stage,TRUE,18,Capacity building FR,19/12/2025,
BLACKLIST,Titre,stagiaire,TRUE,5,Suivi activité,19/12/2025,
BONUS,Description,stakeholders,TRUE,1,Reprise d'entreprise,19/12/2025,
BLACKLIST,Titre,standardiste,TRUE,8,Rôle institutionnel,19/12/2025,
PENALTY,Entreprise,Start-up,TRUE,1,Niveau management,19/12/2025,
PENALTY,Entreprise,Startup,TRUE,1,Franchise,19/12/2025,
BONUS,Description,stratégie,TRUE,15,Responsabilité Sociétale,19/12/2025,
BONUS,Titre,stratégie,TRUE,1,Franchise,19/12/2025,
BONUS,Description,stratégie,TRUE,1,Franchise,19/12/2025,
BONUS,Titre,strategy,TRUE,1,Indicateur de poste junior,20/12/2025,
BONUS,Description,strategy,TRUE,1,Indicateur de poste junior,19/12/2025,
BONUS,Titre,subsaharien,TRUE,29,ESS intérêt collectif,20/12/2025,
BONUS,Description,subsaharien,TRUE,10,ESS intérêt collectif,19/12/2025,
BONUS,Description,subventions,TRUE,8,ESS,20/12/2025,
BONUS,Description,suivi-évaluation,TRUE,1,ONG solidarité,19/12/2025,
BONUS,Titre,sustainability,TRUE,2,Administratif non cadre (sauf secrétaire général),19/12/2025,
BONUS,Description,sustainability,TRUE,2,Administratif non cadre (sauf secrétaire général),19/12/2025,
BONUS,Titre,sustainable agriculture,TRUE,1,Poste de direction transverse,20/12/2025,
BONUS,Description,sustainable agriculture,TRUE,1,Poste de direction transverse,19/12/2025,
BONUS,Titre,sustainable development,TRUE,24,Poste de direction transverse,20/12/2025,
BONUS,Description,sustainable development,TRUE,30,Poste de direction transverse,15/12/2025,
BLACKLIST,Entreprise,Synergie,TRUE,18,Food security,20/12/2025,
BONUS,Titre,systèmes alimentaires,TRUE,-5,Start-up early stage,19/12/2025,
BONUS,Description,systèmes alimentaires,TRUE,-5,Start-up early stage,19/12/2025,
WHITELIST,Titre,team leader,TRUE,1,Expertise senior,20/12/2025,
BLACKLIST,Titre,technicien,TRUE,-3,Start-up early stage,19/12/2025,
PENALTY,Titre,technicien de maintenance,TRUE,-17,Restauration opérationnel,19/12/2025,
BLACKLIST,Titre,technicienne,TRUE,1,Réseau de franchises ménage,19/12/2025,
PENALTY,Titre,téléconseiller,TRUE,-17,Salaire trop bas,19/12/2025,
PENALTY,Titre,téléprospecteur,TRUE,-20,ONG humanitaire,19/12/2025,
BLACKLIST,Titre,téléprospection,TRUE,1,ONG sécurité alimentaire,19/12/2025,
PENALTY,Description,télétravail impossible,TRUE,15,Autonomie alimentaire,19/12/2025,
PENALTY,Titre,télévendeur,TRUE,-16,Réseau de franchises commerce,19/12/2025,
BLACKLIST,Entreprise,Temporis,TRUE,1,Réseau de franchises auto,19/12/2025,
BLACKLIST,Description,temps partiel,TRUE,1,Type contrat non pertinent,19/12/2025,
BLACKLIST,Titre,testeur,TRUE,1,Type contrat non pertinent,15/12/2025,
BONUS,Description,théorie du changement,TRUE,1,Type contrat non pertinent,19/12/2025,
BONUS,Titre,transformation,TRUE,8,Parties prenantes,19/12/2025,
BONUS,Description,transformation,TRUE,8,Parties prenantes,19/12/2025,
BONUS,Titre,transition écologique,TRUE,20,Accueil téléphonique,20/12/2025,
BONUS,Description,transition écologique,TRUE,35,Accueil téléphonique,19/12/2025,
BONUS,Titre,transition énergétique,TRUE,-3,Risque stabilité,20/12/2025,
BONUS,Description,transition énergétique,TRUE,-3,Risque stabilité,19/12/2025,
BLACKLIST,Description,travail de nuit,TRUE,-3,Risque stabilité,20/12/2025,
BLACKLIST,Description,travail en 3x8,TRUE,10,Niveau de responsabilité,19/12/2025,
BLACKLIST,Description,travail posté,TRUE,10,Niveau stratégique,15/12/2025,
WHITELIST,Entreprise,UNDP,TRUE,12,Niveau de responsabilité,19/12/2025,
WHITELIST,Entreprise,UNEP,TRUE,12,Niveau de responsabilité (EN),19/12/2025,
WHITELIST,Entreprise,Union Européenne,TRUE,10,Zone géographique cible,19/12/2025,
WHITELIST,Entreprise,United Nations,TRUE,8,Financement projet,19/12/2025,
BONUS,Titre,upcycling,TRUE,12,M&E,19/12/2025,
BONUS,Description,upcycling,TRUE,25,M&E,19/12/2025,
WHITELIST,Entreprise,USAID,TRUE,15,Durabilité,20/12/2025,
BONUS,Titre,valorisation déchets,TRUE,38,Agro durable (EN),19/12/2025,
BONUS,Description,valorisation déchets,TRUE,40,Agro durable (EN),19/12/2025,
BLACKLIST,Titre,vendeur,TRUE,15,Thématique centrale (EN),20/12/2025,
BLACKLIST,Titre,vendeuse,TRUE,2,Interim,19/12/2025,
WHITELIST,Titre,vice-président,TRUE,15,Food systems,19/12/2025,
PENALTY,Titre,vigile,TRUE,-26,Leadership équipe,19/12/2025,
BONUS,Description,vision stratégique,TRUE,1,Niveau opérationnel technique,19/12/2025,
BLACKLIST,Entreprise,Vival,TRUE,1,Rôle opérationnel manuel,19/12/2025,
BLACKLIST,Entreprise,Vivaservices,TRUE,1,Niveau opérationnel technique,15/12/2025,
BLACKLIST,Description,votre propre patron,TRUE,1,Centre d'appels,19/12/2025,
WHITELIST,Titre,VP,TRUE,1,Centre d'appels,19/12/2025,
BONUS,Titre,waste management,TRUE,29,Tâche bas niveau,19/12/2025,
BONUS,Description,waste management,TRUE,25,Tâche bas niveau,15/12/2025,
BLACKLIST,Titre,webmaster,TRUE,-5,Contrainte géographique,20/12/2025,
WHITELIST,Entreprise,WFP,TRUE,1,Centre d'appels,19/12/2025,
WHITELIST,Entreprise,World Bank,TRUE,1,Interim,19/12/2025,
WHITELIST,Entreprise,WWF,TRUE,2,Temps partiel non souhaité,19/12/2025,
